Source - AS,Target - AS,RTTD
-1,-100,0.66
-100,-100,2.19
-100,-100,10.5
-100,-100,9.14
-100,59193,0.43000000000000016
59193,-100,9.440000000000001
-100,-100,6.28
-100,-100,1.3800000000000008
-100,55836,22.560000000000002
55836,2497,38.05
2497,2497,17.230000000000004
2497,2497,82.31
2497,2497,0.7400000000000091
2497,2497,23.45999999999998
2497,2497,91.89000000000001
2497,-6,1.490000000000009
-2,2914,3.0
2914,2914,70.0
2914,2914,1.0
2914,2914,62.0
2914,2914,0.0
2914,2914,104.0
2914,2914,0.0
2914,-100,1.0
-100,-100,1.0
-100,-6,2.0
-3,-100,30.66
-100,-100,267.66999999999996
-100,-100,49.99999999999997
-100,-100,184.67000000000002
-100,-100,50.0
-100,-100,5.0
-100,9498,71.67000000000002
9498,9498,3.329999999999984
9498,-100,17.0
-100,2497,22.0
2497,2497,171.00000000000003
2497,2497,28.33000000000004
2497,2497,96.32999999999998
2497,-100,122.32999999999998
-100,-100,2.0
-100,-6,117.66999999999999
-4,-100,19.37
-100,-100,17.68
-100,-100,60.190000000000005
-100,-100,0.5
-100,-100,99.56
-100,-100,0.27000000000001023
-100,-100,0.30000000000001137
-100,-100,0.46999999999999886
-100,-100,1.75
-100,-6,1.1599999999999966
-5,6453,36.0
6453,6453,0.0
6453,2497,51.0
2497,2497,2.0
2497,2497,10.0
2497,-6,10.0
-1,-100,3.0
-100,-100,1.0
-100,-100,0.6699999999999999
-100,59193,0.33000000000000007
59193,-100,0.0
-100,-100,5.66
-100,-100,3.33
-100,55836,0.0
55836,174,138.0
174,174,10.669999999999987
174,174,4.659999999999997
174,6830,13.329999999999984
6830,6830,14.0
6830,5089,5.0
5089,5089,11.669999999999987
5089,-7,11.340000000000003
-2,2914,1.0
2914,6830,0.0
6830,6830,10.0
6830,6830,3.0
6830,5089,9.0
5089,-7,1.0
-3,-100,44.0
-100,-100,307.66
-100,-100,271.0
-100,-100,163.0
-100,-100,40.00000000000003
